萧炎	44141
便是	15451
目光	8810
却是	7893
之中	7010
旋即	6145
强者	5514
之上	5401
缓缓	5057
实力	5036
心中	4534
火焰	4529
能量	4383
微微	4308
斗气	4285
一道	4251
身体	4219
点头	3741
时间	3668
一声	3636
体内	3631
灵魂	3514
见到	3363
脸庞	3274
而出	3248
空间	3191
手掌	3183
长老	3074
声音	2921
一抹	2906
脸色	2906
犹如	2890
身形	2665
面前	2656
天空	2614
自然	2527
一眼	2524
东西	2521
一股	2499
手中	2405
修炼	2391
力量	2368
丹药	2366
之内	2348
一口气	2305
再度	2302
闻言	2209
地道	2199
药老	2186
药师	2162
眼中	2143
异火	2142
恐怖	2139
令得	2114
此刻	2063
家伙	2052
终于	2043
感觉	2014
并未	2003
先前	2003
变得	1991
狠狠	1980
听得	1922
摇头	1921
想要	1912
一种	1908
一名	1850
两人	1818
片刻	1810
身影	1771
气息	1713
炼制	1668
面色	1656
响起	1654
速度	1641
老者	1615
化为	1612
众人	1609
势力	1588
庞大	1560
帝国	1539
浮现	1530
心头	1526
那种	1519
美杜莎	1519
一旁	1485
尊者	1480
发现	1467
丝毫	1460
模样	1454
当年	1453
紫研	1421
只能	1408
身上	1398
人影	1382
魔兽	1378
出手	1375
忍不住	1369
瞬间	1368
一道道	1368
隐隐	1360
波动	1338
小医仙	1338
之下	1328
云岚宗	1319
依然	1305
一阵	1300
没想到	1288
海波	1282
广场	1273
纳兰	1271
拥有	1257
地望	1257
药材	1250
斗技	1246
落下	1245
消失	1241
一点	1239
诡异	1235
冷笑	1226
身后	1222
刚刚	1221
今日	1216
笑了笑	1203
颇为	1196
一笑	1190
之外	1190
家族	1170
眉头	1162
漆黑	1157
身旁	1157
地方	1156
无奈	1156
未曾	1154
苦笑	1125
难以	1108
攻击	1108
黑袍	1106
笑容	1104
传出	1102
天际	1079
嫣然	1078
之色	1076
青色	1074
淡淡的	1072
爆发	1069
轻轻	1063
感受	1059
老人	1057
尽数	1054
可怕	1054
弥漫	1051
黑色	1050
一口	1048
这片	1048
眼睛	1047
声道	1044
而开	1042
青年	1031
地面	1030
星斗	1026
之力	1019
许些	1005
三人	1004
宛如	995
无数	994
注视	993
越来越	990
依旧	969
施展	967
凝聚	964
真的	962
加玛	959
凝重	954
急速	954
奇异	939
暴涌	938
韩枫	933
低声	932
日后	931
这位	930
斗宗	930
男子	929
拳头	926
大陆	914
视线	904
淡淡地	902
魂殿	902
微笑	898
脸颊	893
离开	888
斗皇	885
手指	882
掠过	879
一动	879
二人	876
学院	875
明白	866
萧家	864
光芒	863
之间	862
黑角	862
天地	861
声响	858
炽热	857
脚步	857
